Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
0940176F;Ecole élémentaire Robert Doisneau;Ecole;Public;Allée du Puits;;94260 FRESNES;94260;94034;Fresnes;094;24;11;0;1;;;;0172045505;;;ce.0940176F@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940034800195;;48.75113972238502, 2.3235583553613646;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;650267.1;6850327.2;EPSG:2154;Circonscription d'inspection du 1er degré de Fresnes;48.75113972238502;2.3235583553613646;Rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0940101Z;;;0940927X;;;;
0940198E;Ecole élémentaire Henri Wallon A;Ecole;Public;99 rue Louise Aglaé Cretté;;94400 VITRY SUR SEINE;94400;94081;Vitry-sur-Seine;094;24;11;0;1;;;;0611565947;;;ce.0940198E@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940081900187;;48.79864967395887, 2.394310440782089;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;655509.3;6855567.3;EPSG:2154;Circonscription d'inspection du 1er degré de Vitry-sur-Seine 1;48.79864967395887;2.394310440782089;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941033M;;;0940936G;;;;
0940204L;Ecole élémentaire Jules Ferry;Ecole;Public;218 rue Jean Jaurès;;94700 MAISONS ALFORT;94700;94046;Maisons-Alfort;094;24;11;0;1;;;;0143535120;;;ce.0940204L@ac-creteil.fr;1;0;0;;;;;;;;;;;;;REP;;21940046200111;;48.79246922741321, 2.434551245936811;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;658460.2;6854858.2;EPSG:2154;Circonscription d'inspection du 1er degré de Maisons-Alfort;48.79246922741321;2.434551245936811;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941024C;;;0941537K;;;;
0940209S;Ecole élémentaire Jardin Parisien A;Ecole;Public;26 rue Jules Ferry;;94240 L HAY LES ROSES;94240;94038;L'Haÿ-les-Roses;094;24;11;0;1;;;;0146862617;;;ce.0940209S@ac-creteil.fr;1;0;0;;;;;;;;;;;;;REP;;21940038900074;;48.77792836770482, 2.34965571609254;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;652210.3;6853289.5;EPSG:2154;Circonscription d'inspection du 1er degré de Cachan;48.77792836770482;2.34965571609254;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0940583Y;;;0940922S;;;;
0940213W;Ecole élémentaire Sud;Ecole;Public;8 rue Docteur Lebel;;94300 VINCENNES;94300;94080;Vincennes;094;24;11;0;1;;;;0143281842;;;ce.0940213W@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940080100169;;48.84655197901299, 2.431285467310649;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;658263.6;6860873.3;EPSG:2154;Circonscription d'inspection du 1er degré de Vincennes;48.84655197901299;2.431285467310649;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941598B;;;0940935F;;;;
0940235V;Ecole élémentaire Romain Rolland A;Ecole;Public;2 rue Paul Bert;;94500 CHAMPIGNY SUR MARNE;94500;94017;Champigny-sur-Marne;094;24;11;0;1;;;;0153881122;;;ce.0940235V@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940017300056;;48.81296378512547, 2.5469327096934884;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;666729.1;6857083.7;EPSG:2154;Circonscription d'inspection du 1er degré de Champigny-sur-Marne 2;48.81296378512547;2.5469327096934884;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941299B;;;0940924U;;;;
0940238Y;Ecole élémentaire Parmentier A;Ecole;Public;8 rue Paul Vaillant-Couturier;;94700 MAISONS ALFORT;94700;94046;Maisons-Alfort;094;24;11;0;1;;;;0145184430;;;ce.0940238Y@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940046200053;;48.80311883420886, 2.4296119204490165;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;658105.9;6856044.9;EPSG:2154;Circonscription d'inspection du 1er degré de Maisons-Alfort;48.80311883420886;2.4296119204490165;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941596Z;;;0941537K;;;;
0940249K;Ecole élémentaire Joliot-Curie A;Ecole;Public;1 rue Truillot;;94200 IVRY SUR SEINE;94200;94041;Ivry-sur-Seine;094;24;11;0;1;;;;0172046679;;;ce.0940249K@ac-creteil.fr;1;0;0;;;;;;;;;;;;;REP;;21940041300171;;48.8102687505295, 2.3914507071135223;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;655309.2;6856860.8;EPSG:2154;Circonscription d'inspection du 1er degré d'Ivry-sur-Seine;48.8102687505295;2.3914507071135223;Rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941025D;;;0940930A;;;;
0940260X;Ecole élémentaire Victor Hugo;Ecole;Public;28 rue Jules Guesde;;94140 ALFORTVILLE;94140;94002;Alfortville;094;24;11;0;1;;;;0178682292;;;ce.0940260X@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940002500124;;48.80471134906612, 2.4165057725103716;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;657144.6;6856229.0;EPSG:2154;Circonscription d'inspection du 1er degré d'Alfortville;48.80471134906612;2.4165057725103716;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941022A;;;0940934E;;;;
0940262Z;Ecole élémentaire Bled;Ecole;Public;89 avenue Carnot;;94100 ST MAUR DES FOSSES;94100;94068;Saint-Maur-des-Fossés;094;24;11;0;1;;;;0142838820;;;ce.0940262Z@ac-creteil.fr;1;0;1;;;;;;;;;;;;;;;21940068600057;;48.7961482280474, 2.4870903177413286;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;662322.5;6855240.9;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Maur-des-Fossés;48.7961482280474;2.4870903177413286;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941600D;;;0940932C;;;;
0940289D;Ecole élémentaire Jean Monet;Ecole;Public;75 avenue de la Paix;;94260 FRESNES;94260;94034;Fresnes;094;24;11;0;1;;;;0178682510;;;ce.0940289D@ac-creteil.fr;1;0;0;;;;;;;;;;;;;;;21940034800039;;48.76239499356596, 2.3303795019351092;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;650779.2;6851574.3;EPSG:2154;Circonscription d'inspection du 1er degré de Fresnes;48.76239499356596;2.3303795019351092;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0940101Z;;;0940927X;;;;
0940307Y;Ecole élémentaire Charles Beuvin B;Ecole;Public;4 rue Henri Koch;;94000 CRETEIL;94000;94028;Créteil;094;24;11;0;1;;;;0156718982;;;ce.0940307Y@ac-creteil.fr;1;0;1;;;;;;;;;;;;;;;21940028000190;;48.80209479203939, 2.4553349545377925;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;659994.4;6855917.7;EPSG:2154;Circonscription d'inspection du 1er degré de Créteil 2;48.80209479203939;2.4553349545377925;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0940100Y;;;0941330K;;;;
0940309A;Ecole élémentaire Centre;Ecole;Public;15 rue des Jardins;;94240 L HAY LES ROSES;94240;94038;L'Haÿ-les-Roses;094;24;11;0;1;;;;0146648813;;;ce.0940309A@ac-creteil.fr;1;0;1;;;;;;;;;;;;;;;21940038900132;;48.77992785388464, 2.3378818895776043;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;651347.0;6853519.0;EPSG:2154;Circonscription d'inspection du 1er degré de Cachan;48.77992785388464;2.3378818895776043;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0940583Y;;;0940922S;;;;
0940336E;Ecole élémentaire Marinville;Ecole;Public;37 avenue de Marinville;;94100 ST MAUR DES FOSSES;94100;94068;Saint-Maur-des-Fossés;094;24;11;0;1;;;;0142838818;;;ce.0940336E@ac-creteil.fr;1;0;1;;;;;;;;;;;;;;;21940068600214;;48.80949601327996, 2.475902175004288;SANS OBJET;Val-de-Marne;Créteil;Ile-de-France;661510.5;6856730.4;EPSG:2154;Circonscription d'inspection du 1er degré de Saint-Maur-des-Fossés;48.80949601327996;2.475902175004288;Numéro de rue;1965-05-01;2026-05-27;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;0941220R;;;0940932C;;;;
